1: 32'1/3
2: 40'30/41
3: 2'6803/7098
4: 75'74950/245689
5: 65'319/2093
6: 40/123
7: 1'215/376
8: 211/780
9: 339'37/71
10: 10'19/87
11: 14'11/13
12: 230'2670/4067
13: 53
14: 41
15: 159
16: 64'2/69
17: 281'82/83
18: 255'16/19
19: 60/629
20: 12
21: 17'136/627
22: 34
23: 151/66825
24: 134'3/22
25: 29330'11/42
26: 762'78/79
27: 68'38/49
28: 5259879/5693200
29: 19/94
30: 11/51
31: 32'5294/6545
32: 3'31/34
33: 2852/3465
34: 1'357/2936
35: 2'1/11
36: 78
37: 33647'3/23
38: 23/9801
39: 5479/274040
40: 5'10/61
41: 97'12959/48160
42: 114'143/476
43: 29/2464
44: 53/784
45: 67'52/69
46: 181/3120
47: 7'79/240
48: 1265/6174
49: 7816
50: 53'5400/7007
51: 8
52: 8'122/137
53: 47
54: 12/23
55: 139/196175
56: 4321'59/79
57: 473'7/9
58: 165
59: 62'36/67
60: 553
61: 1'37/52
62: 1'521/13420
63: 73/1764
64: 7'52/79
65: 70'19/88
66: 53'67/91
67: 9'3/32
68: 129'17/35
69: 70'5/7
70: 81'61/64
71: 1'157/266
72: 0
73: 129'1735/1794
74: 44'566/2233
75: 1'407/2272
76: 1288/15223
77: 88'4865/6834
78: 2'7/10
79: 64
80: 465/3854
81: 3'1659/2320
82: 1'13817/17050
83: 99'2179/2262
84: 94'2/7
85: 85'473/679
86: 864/26999
87: 28'4700/65559
88: 574/583
89: 3'1443/3844
90: 11'61/561
91: 15/16
92: 1'12/13
93: 137'24/41
94: 8'4/5
95: 1'3/43
96: 485'29/95
97: 134
98: 4
99: 146'16/37
100: 21/3200
101: 92
102: 21'459/700
103: 3380
104: 2'1627/1748
105: 38'83/435
106: 1848
107: 50'39185/80028
108: 273
109: 3'521/583
110: 1'371/390
111: 15/91
112: 154
113: 38'3/16
114: 5'3343/4606
115: 6'1/8
116: 10
117: 54/2035
118: 1046'148/205
119: 2/41
120: 20'175/564
